"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"3P888QFVX3264CYFNBR3KBR6ZKFQOX","385XUCFVXWREUISXKICLXGD21Y0V4T","Interacitve online experiment for 20-30 min","Interacitve online experiment for 20-30 min. You will win a bonus on average $3.","Interactive experiment","$1.00","Fri Mar 25 13:53:25 PDT 2016","100","BatchId:2327779;","14400","259200","Fri Mar 25 15:53:25 PDT 2016","","","30JNVC0ORASZYFAM901FPMPPCDAQHC","A1IMXNDHFHG2IE","Submitted","Fri Mar 25 14:01:07 PDT 2016","Fri Mar 25 14:27:49 PDT 2016","Mon Mar 28 14:27:49 PDT 2016","","","","1602","0% (0/0)","0% (0/0)","0% (0/0)","EVRUzl5CD7tAWmKP"
"3P888QFVX3264CYFNBR3KBR6ZKFQOX","385XUCFVXWREUISXKICLXGD21Y0V4T","Interacitve online experiment for 20-30 min","Interacitve online experiment for 20-30 min. You will win a bonus on average $3.","Interactive experiment","$1.00","Fri Mar 25 13:53:25 PDT 2016","100","BatchId:2327779;","14400","259200","Fri Mar 25 15:53:25 PDT 2016","","","31LVTDXBL8I1WC8CD05DM4S1PGMRLM","A5N6QK76RTR7R","Submitted","Fri Mar 25 14:46:37 PDT 2016","Fri Mar 25 15:16:02 PDT 2016","Mon Mar 28 15:16:02 PDT 2016","","","","1765","0% (0/0)","0% (0/0)","0% (0/0)","EsCmIVlrGf4H5oBF"
"3P888QFVX3264CYFNBR3KBR6ZKFQOX","385XUCFVXWREUISXKICLXGD21Y0V4T","Interacitve online experiment for 20-30 min","Interacitve online experiment for 20-30 min. You will win a bonus on average $3.","Interactive experiment","$1.00","Fri Mar 25 13:53:25 PDT 2016","100","BatchId:2327779;","14400","259200","Fri Mar 25 15:53:25 PDT 2016","","","31Q0U3WYDQNEOMKTBCPOX8SNQYN17R","A34GXB9CLD01FZ","Submitted","Fri Mar 25 14:08:18 PDT 2016","Fri Mar 25 15:02:13 PDT 2016","Mon Mar 28 15:02:13 PDT 2016","","","","3235","100% (1/1)","100% (1/1)","100% (1/1)","{}"
"3P888QFVX3264CYFNBR3KBR6ZKFQOX","385XUCFVXWREUISXKICLXGD21Y0V4T","Interacitve online experiment for 20-30 min","Interacitve online experiment for 20-30 min. You will win a bonus on average $3.","Interactive experiment","$1.00","Fri Mar 25 13:53:25 PDT 2016","100","BatchId:2327779;","14400","259200","Fri Mar 25 15:53:25 PDT 2016","","","32AT8R96GMHGGHVJ13XJ31TGO9XSU4","A62LZWGKLMBT2","Submitted","Fri Mar 25 13:54:51 PDT 2016","Fri Mar 25 14:28:24 PDT 2016","Mon Mar 28 14:28:24 PDT 2016","","","","2013","0% (0/0)","0% (0/0)","0% (0/0)","ExfUX8VnjYrDdMBW"
"3P888QFVX3264CYFNBR3KBR6ZKFQOX","385XUCFVXWREUISXKICLXGD21Y0V4T","Interacitve online experiment for 20-30 min","Interacitve online experiment for 20-30 min. You will win a bonus on average $3.","Interactive experiment","$1.00","Fri Mar 25 13:53:25 PDT 2016","100","BatchId:2327779;","14400","259200","Fri Mar 25 15:53:25 PDT 2016","","","32KTQ2V7RENFYUUBJV66VW7WJZ79MK","A37TWHMLVYXK5G","Submitted","Fri Mar 25 14:54:03 PDT 2016","Fri Mar 25 15:20:09 PDT 2016","Mon Mar 28 15:20:09 PDT 2016","","","","1566","100% (1/1)","0% (0/0)","0% (0/0)","EvR5eQ9ihGkJ8xyX"
"3P888QFVX3264CYFNBR3KBR6ZKFQOX","385XUCFVXWREUISXKICLXGD21Y0V4T","Interacitve online experiment for 20-30 min","Interacitve online experiment for 20-30 min. You will win a bonus on average $3.","Interactive experiment","$1.00","Fri Mar 25 13:53:25 PDT 2016","100","BatchId:2327779;","14400","259200","Fri Mar 25 15:53:25 PDT 2016","","","3300DTYQT3PNE5JKJZT94JSCKXIQEW","A1M682B2WUSYJP","Submitted","Fri Mar 25 13:58:06 PDT 2016","Fri Mar 25 14:24:09 PDT 2016","Mon Mar 28 14:24:09 PDT 2016","","","","1563","0% (0/0)","0% (0/0)","0% (0/0)","E0nCEP3SJdU8jlby"
"3P888QFVX3264CYFNBR3KBR6ZKFQOX","385XUCFVXWREUISXKICLXGD21Y0V4T","Interacitve online experiment for 20-30 min","Interacitve online experiment for 20-30 min. You will win a bonus on average $3.","Interactive experiment","$1.00","Fri Mar 25 13:53:25 PDT 2016","100","BatchId:2327779;","14400","259200","Fri Mar 25 15:53:25 PDT 2016","","","336KAV9KYR04SRYQHPF2F4MPM39Y25","A3C35EZLMLQUN8","Submitted","Fri Mar 25 13:54:35 PDT 2016","Fri Mar 25 14:29:12 PDT 2016","Mon Mar 28 14:29:12 PDT 2016","","","","2077","0% (0/0)","0% (0/0)","0% (0/0)","ElBDjRx18SIh4yT6"
"3P888QFVX3264CYFNBR3KBR6ZKFQOX","385XUCFVXWREUISXKICLXGD21Y0V4T","Interacitve online experiment for 20-30 min","Interacitve online experiment for 20-30 min. You will win a bonus on average $3.","Interactive experiment","$1.00","Fri Mar 25 13:53:25 PDT 2016","100","BatchId:2327779;","14400","259200","Fri Mar 25 15:53:25 PDT 2016","","","336YQZE83WMWX7SZG5TPJG2UX3MM54","A3RS0C2W0SSY1S","Submitted","Fri Mar 25 14:07:11 PDT 2016","Fri Mar 25 14:32:30 PDT 2016","Mon Mar 28 14:32:30 PDT 2016","","","","1519","0% (0/0)","0% (0/0)","0% (0/0)","EOVYua6EzxCtsDgF"
"3P888QFVX3264CYFNBR3KBR6ZKFQOX","385XUCFVXWREUISXKICLXGD21Y0V4T","Interacitve online experiment for 20-30 min","Interacitve online experiment for 20-30 min. You will win a bonus on average $3.","Interactive experiment","$1.00","Fri Mar 25 13:53:25 PDT 2016","100","BatchId:2327779;","14400","259200","Fri Mar 25 15:53:25 PDT 2016","","","337RC3OW06ATPJPTMKANN1H4AMYLV8","ARM1KHL1WNDJ5","Submitted","Fri Mar 25 14:03:24 PDT 2016","Fri Mar 25 14:50:15 PDT 2016","Mon Mar 28 14:50:15 PDT 2016","","","","2811","0% (0/0)","0% (0/0)","0% (0/0)","EYCQgpilw0afct4y"
"3P888QFVX3264CYFNBR3KBR6ZKFQOX","385XUCFVXWREUISXKICLXGD21Y0V4T","Interacitve online experiment for 20-30 min","Interacitve online experiment for 20-30 min. You will win a bonus on average $3.","Interactive experiment","$1.00","Fri Mar 25 13:53:25 PDT 2016","100","BatchId:2327779;","14400","259200","Fri Mar 25 15:53:25 PDT 2016","","","33CID5710519DANA2A4H46PLJ263LU","A2AKMVI7FKTHKJ","Submitted","Fri Mar 25 14:07:54 PDT 2016","Fri Mar 25 14:40:23 PDT 2016","Mon Mar 28 14:40:23 PDT 2016","","","","1949","100% (1/1)","100% (1/1)","100% (1/1)","Google Chrome Version 49.0.2623.87 m"
